Country,Total,Ranking,Year
Norway,37,1,2022
ROC,32,2,2022
Germany,27,3,2022
CANADA,26,4,2022
USA,24,5,2022
Sweden,18,6,2022
Austria,18,6,2022
Japan,18,6,2022
Netherlands,17,7,2022
Italy,17,7,2022
Norway,35,1,2018
Germany,31,2,2018
CANADA,29,3,2018
USA,23,4,2018
Netherlands,20,5,2018
ROC,17,6,2018
Switzerland,15,7,2018
France,15,7,2018
South Korea,14,8,2018
Sweden,14,8,2018
ROC,30,1,2014
USA,28,2,2014
Norway,26,3,2014
Netherlands,24,5,2014
Germany,19,6,2014
Austria,17,7,2014
France,15,8,2014
Sweden,15,8,2014
Switzerland,11,9,2014
USA,37,1,2010
Germany,30,2,2010
CANADA,26,3,2010
Norway,23,4,2010
Austria,16,5,2010
ROC,15,6,2010
South Korea,14,7,2010
China,11,8,2010
Sweden,11,8,2010
France,11,8,2010
Germany,29,1,2006
USA,25,2,2006
CANADA,24,3,2006
Austria,23,4,2006
ROC,22,5,2006
Sweden,14,6,2006
Switzerland,14,6,2006
South Korea,11,7,2006
Italy,11,7,2006
France,9,8,2006
Netherlands,9,8,2006
Germany,36,1,2002
USA,34,2,2002
Norway,25,3,2002
CANADA,17,4,2002
Austria,17,4,2002
ROC,13,5,2002
Italy,13,5,2002
France,11,6,2002
Netherlands,8,7,2002
FINLAND,7,8,2002
Germany,29,1,1998
Norway,25,2,1998
ROC,18,3,1998
Austria,17,4,1998
CANADA,15,5,1998
USA,13,6,1998
Netherlands,11,8,1998
Japan,10,9,1998
Italy,10,9,1998
FINLAND,12,7,1998
CANADA,25,4,2014
