Country ,Gender ,Medal ,Results,Year 
Norway,m,S,1,2022
Norway,m,B,2,2022
Norway,m,G,3,2022
Norway,m,S,1,2022
Norway,m,B,3,2022
Norway,f,G,2,2022
Norway,f,S,1,2022
Norway,f,B,3,2022
Norway,m,G,2,2022
Norway,m,S,1,2022
Norway,m,B,2,2022
Norway,f,G,3,2022
Norway,m,G,1,2022
Norway,m,G,2,2022
Norway,m,S,2,2022
Norway,m,G,1,2022
Norway,m,S,1,2022
Norway,m,G,1,2022
Norway,m,B,2,2022
Germany,f,G,1,2022
Germany,m,G,1,2022
Germany,m,S,1,2022
Germany,m,B,1,2022
Germany,f,G,1,2022
Germany,f,S,1,2022
Germany,f,G,1,2022
Germany,f,S,1,2022
Germany,f,B,1,2022
Germany,m,G,1,2022
Germany,f,G,1,2022
Germany,f,S,1,2022
Germany,m,G,1,2022
Germany,m,S,1,2022
Germany,m,G,1,2022
Germany,m,S,1,2022
Germany,f,G,1,2022
Germany,m,B,1,2022
Germany,f,S,1,2022
China,m,G,1,2022
China,f,G,3,2022
China,f,S,1,2022
China,m,G,1,2022
China,m,S,1,2022
China,f,B,1,2022
China,m,B,1,2022
China,m,G,1,2022
China,m,S,1,2022
China,m,G,1,2022
USA,m,S,1,2022
USA,f,G,1,2022
USA,f,S,1,2022
USA,f,B,1,2022
USA,f,S,1,2022
USA,f,B,1,2022
USA,m,G,1,2022
USA,m,G,1,2022
USA,m,S,3,2022
USA,m,B,1,2022
USA,f,S,1,2022
USA,f,B,1,2022
USA,f,S,1,2022
USA,f,G,2,2022
USA,f,S,1,2022
USA,m,B,1,2022
USA,f,G,1,2022
USA,f,B,1,2022
Sweden,f,G,1,2022
Sweden,m,S,1,2022
Sweden,f,G,1,2022
Sweden,f,S,2,2022
Sweden,m,G,1,2022
Sweden,f,B,1,2022
Sweden,m,G,1,2022
Sweden,m,B,2,2022
Sweden,f,G,1,2022
Sweden,m,G,2,2022
Netherlands,f,G,2,2022
Netherlands,f,S,1,2022
Netherlands,f,B,1,2022
Netherlands,f,B,1,2022
Netherlands,m,G,2,2022
Netherlands,m,S,3,2022
Netherlands,f,G,4,2022
Netherlands,f,S,1,2022
Netherlands,f,B,2,2022
Austria,m,G,2,2022
Austria,m,S,1,2022
Austria,f,S,2,2022
Austria,m,B,1,2022
Austria,f,B,1,2022
Austria,m,B,1,2022
Austria,m,G,1,2022
Austria,m,S,1,2022
Austria,m,G,1,2022
Austria,f,G,1,2022
Austria,f,S,1,2022
Switzerland,m,G,2,2022
Switzerland,f,G,3,2022
Switzerland,f,S,1,2022
Switzerland,f,B,3,2022
Switzerland,m,G,1,2022
Switzerland,m,S,1,2022
Switzerland,f,G,1,2022
Switzerland,f,B,1,2022
Switzerland,m,B,1,2022
ROC,m,B,2,2022
ROC,f,S,1,2022
ROC,m,G,3,2022
ROC,m,S,3,2022
ROC,m,B,2,2022
ROC,f,G,1,2022
ROC,f,S,1,2022
ROC,f,B,1,2022
ROC,f,G,1,2022
ROC,f,S,1,2022
ROC,m,B,2,2022
ROC,f,B,1,2022
ROC,m,S,1,2022
ROC,f,B,1,2022
ROC,m,S,1,2022
ROC,m,B,1,2022
ROC,m,B,1,2022
ROC,m,S,1,2022
ROC,f,B,1,2022
France,m,G,1,2022
France,m,S,1,2022
France,m,B,1,2022
France,m,G,2,2022
France,m,S,2,2022
France,f,G,1,2022
France,f,S,1,2022
France,m,B,1,2022
France,f,S,1,2022
France,f,S,1,2022
