Country ,Gender ,Results,Year 
Sweden,female,6,2022
Sweden,male,7,2022
Sweden,both,13,2022
USA,female,13,2022
USA,male,8,2022
USA,both,21,2022
Switzerland,female,9,2022
Switzerland,male,5,2022
Switzerland,both,14,2022
ROC,female,9,2022
ROC,male,17,2022
ROC,both,26,2022
Norway,female,9,2022
Norway,male,25,2022
Norway,both,34,2022
Netherlands,female,12,2022
Netherlands,male,5,2022
Netherlands,both,17,2022
Germany,female,10,2022
Germany,male,9,2022
Germany,both,19,2022
France,female,4,2022
France,male,8,2022
France,both,12,2022
China,female,5,2022
China,male,7,2022
China,bith,12,2022
Austria,female,5,2022
Austria,male,8,2022
Austria,both,13,2022
